P10B,P7B,8589
P7B,P2B,8552
P8B,P5B,8483
P7B,P4B,8459
P4B,P2B,8446
P8B,P7B,8443
P7B,P6B,8407
P5B,P4B,8399
P11B,P5B,8393
P8B,P6B,8381
P10B,P5B,8381
P11B,P10B,8375
P2B,P1B,8366
P5B,P3B,8364
P10B,P6B,8361
P6B,P3B,8351
P8B,P3B,8351
P7B,P5B,8350
P10B,P3B,8345
P5B,P2B,8324
P12B,P7B,8324
P7B,P1B,8309
P10B,P2B,8306
P12B,P10B,8302
P11B,P8B,8297
P10B,P4B,8296
P11B,P7B,8293
P11B,P3B,8290
P8B,P4B,8287
P11B,P6B,8275
P12B,P11B,8268
P10B,P9B,8260
P12B,P8B,8254
P8B,P2B,8250
P6B,P5B,8249
P10B,P8B,8225
P9B,P8B,8223
P6B,P4B,8217
P11B,P4B,8217
P3B,P2B,8216
P11B,P1B,8207
P9B,P7B,8205
P12B,P2B,8200
P6B,P2B,8198
P7B,P3B,8195
P11B,P2B,8195
P4B,P3B,8194
P12B,P4B,8192
P9B,P4B,8187
P12B,P9B,8185
P9B,P6B,8177
P11B,P9B,8154
P9B,P3B,8149
P9B,P5B,8142
P12B,P3B,8134
P12B,P5B,8103
P12B,P1B,8095
P12B,P6B,8095
P9B,P2B,8093
P5B,P1B,8091
P6B,P1B,8039
P10B,P1B,8030
P8B,P1B,8020
P3B,P1B,7965
P9B,P1B,7954
P4B,P1B,7933
